hedge,sentence,gemini_label,softness_harshness,formality,degree,softens_harshness
really, BTW this is getting really boring.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 4, ""degree"": 5}",4.0,4.0,5.0,4.0
very," At North Vietnam, they deleted lots of sourced content on land reform very similar to their previous socks.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
very, You have always been very helpful.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
a bit,:Data supports Potana Mazda a bit better.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 5}",7.0,4.0,5.0,7.0
really," it's really helpful) [[User:DareWhat?|DareWhat?]] ([[User talk:DareWhat?#top|talk]]) 08:41, 31 January 2025 (UTC)","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 4}",6.0,4.0,4.0,6.0
a bit,"  As a long-time IP editor, I know my edits are treated with a bit more suspicion, so the recommendation for an edit summary is even more helpful.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 4}",7.0,4.0,4.0,7.0
mostly,":Yes, i used gpt for [[Draft:Communism in Germany]] and [[Draft:Communism in Greece]] but its mostly for me to model it after my other draft, translated and expanded from portuguese, [[Draft:Communism in Brazil]].","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
mostly,":::::on second thought however, i ended up mostly with secondary sources after TRYING to find primary ones.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
very,":Thank you sir, But I would also like you to review [[Draft:Communism in Brazil]] I worked a lot on this draft and i would be very happy if you could review it Sir, thank you [[User:Scratchinghead|<span style=""color:teal;"">'''☢️SCR@TCH!NGH3@D'''</span>]] ([[User talk:Scratchinghead|talk]]) 06:21, 12 January 2025 (UTC)","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 5}",7.0,6.0,5.0,7.0
very,Thank you very much for promoting ''[[Reichsgesetzblatt]]'' to GA!,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 5}",5.0,6.0,5.0,5.0
fairly, I have noticed that you are fairly new!,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 4}",7.0,6.0,4.0,7.0
very,Wikipedia has a very stringent [[Wikipedia:Image use policy|image use policy]]?,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
very,Wikipedia takes [[Wikipedia:Copyright violations|copyright violations very seriously]]?,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
very, It's very important that articles here are based on [[WP:Reliable sources]] that support the existence of the topic of the article.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
sort of," I sort of see what you're looking for in this article, but unfortunately it's quite vague, and hard to define.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 3, ""degree"": 4}",8.0,3.0,4.0,8.0
quite," I sort of see what you're looking for in this article, but unfortunately it's quite vague, and hard to define.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 4}",6.0,6.0,4.0,6.0
quite," We have quite a few pages that cover various aspects of political geography, such as those in [[Lists of islands]].","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 5}",5.0,6.0,5.0,5.0
very," This has been done under [[WP:CSD#A1|section A1 of the criteria for speedy deletion]], because it is a very short article providing little or no context to the reader.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
very,::It's because you very clearly do not have a [[WP:NPOV]] and are here to [[WP:POVPUSH]] by attacking other editors who don't share your bias.,"{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 5, ""degree"": 4}",3.0,5.0,4.0,3.0
very, Your contribution history also makes it very clear that you are not a new account.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
mostly," I am not an editor I'm mostly a reader, and this account isn't new but I haven't logged in ages, make no mistake I will not let you silence me and i'm in the process of building a strong case that will show you and your fellow biased editors for what they truly are.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
very,"}} You wrote that at [[WP:ANI]] with a tone of surprise, as though the reasons justifying the quick closure weren't spelled out very clearly in the discussion.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 5, ""degree"": 5}",7.0,5.0,5.0,7.0
quite, But it's not necessarily quite what you allege.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 4}",7.0,6.0,4.0,7.0
very," Those of us who have been around for a long time have heard the {{tqq|request for fair representation grounded in sources}} argument many, many times before - almost exclusively from those who are, in fact, very much ''not'' here to help ensure a truly neutral, non-nationalistic POV, and in fact all but universally pushing the ''opposite'', with extremely nationalistic, biased postitions.","{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 5, ""degree"": 4}",3.0,5.0,4.0,3.0
extremely," Those of us who have been around for a long time have heard the {{tqq|request for fair representation grounded in sources}} argument many, many times before - almost exclusively from those who are, in fact, very much ''not'' here to help ensure a truly neutral, non-nationalistic POV, and in fact all but universally pushing the ''opposite'', with extremely nationalistic, biased postitions.","{""is_modifier"": true, ""softens_harshness"": 2, ""formality"": 5, ""degree"": 5}",2.0,5.0,5.0,2.0
very," Bitton edited [[Kaftan]] was 23 October 2024, in an edit [https://en.wikipedia.org/w/index.php?title=Kaftan&diff=prev&oldid=1252919689 reverting blatant Moroccan POV pushing], which makes your sudden appearance with such a vehemently held position [[WP:DUCK|sound very suspicous]] to those of us who are actually here to help build a neutral, non-biased encyclopedia.","{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 5, ""degree"": 5}",3.0,5.0,5.0,3.0
very,"bitton felt the need to selectively use the limited and contested sources that claim the caftan has been in Algeria since the 10th century, while it ""entered Morocco in the saadian era"" while ignoring the abundant sources that claim the caftan as we know it(meaning its Moroccan variation, which is almost the only variation refered to as caftan today, and which is very rarely worn or even made in Algeria) has its origins in Morocco centuries before that.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
somewhat,":::::::::::Anyway, I'll save my arguments and citations and diffs for the grievance I plan to file, but I don't see how the date my account was created is relevant to this, although I somewhat understand the suspicion.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 4}",7.0,6.0,4.0,7.0
very, It is very easy to generate a list of sources like yours for basically any claim whatsoever: you put your favorite keywords into a search engine and then selectively pick out every single link that supports your point of view.,"{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 5, ""degree"": 5}",3.0,5.0,5.0,3.0
sort of,"bitton seemingly downplays Moroccan contribution and historical independence, framing it as a sort of ottoman vassal based solely on a rather short period in history, should be (imho) a red flag, he always emphasizes ottoman influence in Morocco while ignoring the historical rivalry and equal standing of the two states evidenced by documented history and diplomatic correspondance, so it's hard to blame me for having concerns that he might be biased if he has (at least in the past) consistently tried to subtly frame complex history in an Algerian-Ottoman-centric manner, I'm a long time reader, not an editor, and I've noticed this pattern on every article that even remotely has to do with Moroccan history and culture.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 2}",7.0,3.0,2.0,7.0
rather,"bitton seemingly downplays Moroccan contribution and historical independence, framing it as a sort of ottoman vassal based solely on a rather short period in history, should be (imho) a red flag, he always emphasizes ottoman influence in Morocco while ignoring the historical rivalry and equal standing of the two states evidenced by documented history and diplomatic correspondance, so it's hard to blame me for having concerns that he might be biased if he has (at least in the past) consistently tried to subtly frame complex history in an Algerian-Ottoman-centric manner, I'm a long time reader, not an editor, and I've noticed this pattern on every article that even remotely has to do with Moroccan history and culture.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 7, ""degree"": 4}",6.0,7.0,4.0,6.0
really,::::::::::::You really need to stop making accusations ''until'' you have convincing documented evidence to present to support those accusations.,"{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 4, ""degree"": 3}",3.0,4.0,3.0,3.0
a little,":::::::::::::I might've gotten a little carried away and treated this like a conversation, I'll definitely refrain from discussing this further until I file a detailed grievance, thanks for the heads up.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
very,"-- Template:uw-unsourced1 --> <b>[[User:Yoshi24517|<span style=""color:#00c700;font-family:'Rockwell'"">Yoshi24517</span>]] ([[User talk:Yoshi24517|<span style=""color:black;font-family:'Rockwell'"">Chat</span>]]) (<span style=""color:red;font-family:'Rockwell'"">Very Busy</span>)</b> 18:54, 10 April 2025 (UTC)","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
a bit,"Get ready to join Wikipedia’s 25th birthday party at 16:00 UTC, or come a bit early and get warmed up at the pre-party countdown starting at 15:45 UTC!","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 5}",7.0,4.0,5.0,7.0
very," While using LLMs can be very useful, machine-generated text—much like human-created text—can contain errors or flaws, or be outright useless (see [[WP:LLM]]).","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 4}",6.0,4.0,4.0,6.0
a bit," Wikipedia processes are often somewhat inscrutable, so it's giving a bit of time to familiarise yourself with them.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 4}",7.0,3.0,4.0,7.0
somewhat," Wikipedia processes are often somewhat inscrutable, so it's giving a bit of time to familiarise yourself with them.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 4}",7.0,6.0,4.0,7.0
reasonably,"For example, in regard to the first criterion, you could explain in what sense it is ""reasonably well written"" by describing how your reading experience of the different sections was in terms of style, grammar, and understandability.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 4}",7.0,6.0,4.0,7.0
very,"Hey; I noticed that in your recent review of my GAN, [[Texas centennial half dollar]], you left very little in-depth description and no evidence of a source spot check.","{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 5, ""degree"": 5}",3.0,5.0,5.0,3.0
really, I am not really sure how to do a GA review well.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 2}",7.0,4.0,2.0,7.0
very," As it so happens I did a source check on this very article for [[Template:Did you know nominations/Texas Centennial half dollar]], perhaps that might be a helpful example?","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 7, ""degree"": 0}",5.0,7.0,0.0,5.0
really,::Currently the articles are only really sourced to Theoi.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 2}",7.0,3.0,2.0,7.0
a bit, It says who the Anemoi's parents are if you scroll down a bit.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 4}",6.0,4.0,4.0,6.0
pretty,"com is a pretty unreliable source, and tends to contain bogus claims, of which this looks to be one.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 3}",7.0,3.0,3.0,7.0
really,":::::::While I appreciate your resolve here, I'm not sure there really ''is'' anything to say about these figures.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 1}",6.0,4.0,1.0,6.0
pretty," I'd recommend just turning [[Euronotus]] into a redirect to [[Anemoi]], as I'm pretty certain that it's subject doesn't have any existence in reliable sources (notice that the cited source which mentions εὐρόνοτος only give a definition for the word, and doesn't say that it represents a deity).","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 4}",7.0,3.0,4.0,7.0
very,That was a very bad close.,"{""is_modifier"": true, ""softens_harshness"": 1, ""formality"": 5, ""degree"": 5}",1.0,5.0,5.0,1.0
a bit," While there is nothing wrong with them, it seemed to me that you were a bit confused with the proccess of source reviews.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
really,":::Perfect, thank you for running this, it does seem like a really interesting topic, I'll see if I can get any of them to GA!","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 4}",5.0,4.0,4.0,5.0
a bit," I'm a bit worried by some of your submissions, especially as they don't seem particularly in the spirit of the cup.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
a bit,"I am a bit worried that you have done so many reviews, but that they might not be sufficiently in-depth, and have nominated three items for ITN which you haven't written.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
really," The edit count doesn't really matter as much as the contribution size does, but [https://xtools.wmcloud.org/articleinfo/en.wikipedia.org/Ayla_Erduran XTools] indicates that you only added 467 bytes or 4.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 1}",8.0,4.0,1.0,8.0
quite,Round 2 was quite competitive.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 4}",5.0,6.0,4.0,5.0
mostly,"* {{Wikipedia:WikiCup/Participant16|History6042}} with 1,088 round points from four [[WP:featured lists|featured lists]] about Michelin-starred restaurants, nine good articles and a [[WP:Good topic|good topic]] mostly on Olympic-related subjects, seven ITN articles, and dozens of reviews","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
mostly,"* {{Wikipedia:WikiCup/Participant16|Arconning}} with 887 round points, mostly from four FLs, six GAs, and seven DYKs on Olympic topics, along with more than two dozen reviews","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
mostly,"* {{Wikipedia:WikiCup/Participant16|BeanieFan11}} with 1,314 round points, mostly from articles about athletes and politicians, including 20 [[Wikipedia:good articles|good articles]] and 48 [[Wikipedia:did you know|did you know]] articles","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
mostly,"* {{Wikipedia:WikiCup/Participant16|Gog the Mild}} with 1,197 round points, mostly from military history articles, including 9 [[WP:FT|featured topic]] articles, two [[Wikipedia:featured articles|featured articles]], and four good articles","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
mostly,"* {{Wikipedia:WikiCup/Participant16|Sammi Brie}} with 1,055 round points, mostly from television station articles, including 27 good articles and 9 [[WP:GT|good topic]] articles","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very, I have two articles at FLC right now that have sadly generated very few reviews.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
a bit, It's been a bit since it's been attended to.,"{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 3, ""degree"": 4}",8.0,3.0,4.0,8.0
rather, It was rather a long review but I think the article has improved significantly from it.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 7, ""degree"": 4}",7.0,7.0,4.0,7.0
really,":I don’t really have any concerns, go ahead, and thanks for doing this, :) [[User:History6042|<span style=""color:darkorange"">History6042😊</span>]] '''([[User talk:History6042|<span style=""color:blue"">Contact me</span>]])''' 16:54, 12 August 2025 (UTC)","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 2}",7.0,3.0,2.0,7.0
mostly,"* {{Wikipedia:WikiCup/Participant16|AirshipJungleman29}} with 854 round points, mostly from a high-scoring featured article on the Indian leader [[Rani of Jhansi]] and two good articles, in addition to 13 featured and good article reviews","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very,":Oh I am very sorry, I did not think that copyright applied to translation, is there anything I need to do about this.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 5}",7.0,6.0,5.0,7.0
pretty,"::Yeah, that's a pretty common misconception.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 4}",7.0,3.0,4.0,7.0
very," The way the sentences are constructed is very similar, down to conjunctions.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
a bit," This is, again, very easy to do accidentally - it's the sort of close paraphrasing which occurs when one writes when looking a bit too much at the source material, or when you're pushing yourself too write too much, too quickly.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
very," This is, again, very easy to do accidentally - it's the sort of close paraphrasing which occurs when one writes when looking a bit too much at the source material, or when you're pushing yourself too write too much, too quickly.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
a bit,"::This is a bit beyond where I want to get involved, but for your own sake, I note that some of the copyright issues (ie, [https://en.wikipedia.org/w/index.php?title=Capsizing_of_the_Wonder_Sea&diff=prev&oldid=1301611808 this edit], since removed by another editor) have been on articles you've submitted and got points for in the WikiCup.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
really," You might want to talk to the judges about that,(Wikipedians really appreciate it when people own up to mistakes and take steps to make it right with the community) but I'll leave it up to you.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 5}",6.0,4.0,5.0,6.0
mostly," When you created the Battle of Monte Battaglia page, you cited it mostly to the same, Italian-language page that the itWiki article had cited itself to.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 5, ""degree"": 5}",7.0,5.0,5.0,7.0
kind of," For the bit {{tq|written by 11 year old '''[[Nina Milkina]]'''}}, this implies that she is 11 years old right now (she is definitely not), so I'm worried this is kind of misleading.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 2, ""degree"": 3}",8.0,2.0,3.0,8.0
really," I was working with some other editors on bringing it to GA status, so I could really use a review on it soon.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 4}",6.0,4.0,4.0,6.0
mostly,"* {{Wikipedia:WikiCup/Participant16|BeanieFan11}} with 1,035 round points, mostly from 19 good articles and 21 did you know articles about athletes","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
mostly,"* {{Wikipedia:WikiCup/Participant16|vigilantcosmicpenguin}} with 819 round points, mostly from 13 good articles and 11 did you know articles about a wide range of topics from abortion topics to African cities","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very,"The final round was very productive, and contestants had 2 [[Wikipedia:featured articles|featured articles]], 4 [[Wikipedia:featured lists|featured lists]], 106 [[Wikipedia:good articles|good articles]], 5 [[Wikipedia:Good topics|good topic]] articles, 178 article reviews, 76 [[Wikipedia:Did you know|did you know]] articles, and 9 [[Wikipedia:In the news|in the news]] articles.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
really, You should probably change it to say what you really meant.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 3}",5.0,4.0,3.0,5.0
somewhat,"You seem somewhat inactive recently, but I would encourage you to nominate this to FLC as the list is complete and i increased the size of the lead (by copying from an article you wrote).","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 6, ""degree"": 4}",8.0,6.0,4.0,8.0
mostly,":Also looking back at your userpage it says that you could review mostly anything, and i recognize that you are inactive but if you become active then consider reviewing [[List of World Heritage Sites in Arab States]].","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
really," I think it is atleast worthwhile to ask the coordinators as they have given an exception (not really, technically it is 11) in the past ([[Wikipedia talk:Featured list candidates/Archive 24#List too short?]]) Thanks, 🇪🇭🇵🇸🇸🇩 '''[[User:Easternsahara|<span style=""color:red;"">East</span>]][[User talk:Easternsahara|<span style=""color:black;"">ernsa</span>]][[Special:Contributions/Easternsahara|<span style=""color:green;"">hara</span>]]''' 🇪🇭🇵🇸🇸🇩 20:30, 16 October 2025 (UTC)","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 2}",7.0,3.0,2.0,7.0
really,I would really appreciate your help on any of these!,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 5}",6.0,4.0,5.0,6.0
really,":@[[User:Bgsu98|Bgsu98]], I am not really sure how to do a good FAC review but I can get to the two FLC reviews soon, and thanks for the review again, :).","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 3}",7.0,4.0,3.0,7.0
largely,"* {{Wikipedia:WikiCup/Participant17|Bgsu98}} with 1,467 round points, largely gained from 1 [[WP:FA|featured article]], 5 [[WP:FL|featured lists]], 15 [[WP:GA|good articles]], and 42 FAC and GAN reviews;","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 5}",5.0,6.0,5.0,5.0
largely,"* {{Wikipedia:WikiCup/Participant17|Olliefant}} with 1,246 round points, largely from 4 featured lists, 9 good articles, 2 [[WP:FT|featured topic]] articles, 4 [[WP:DYK|did you know]] articles, and 75 FAC and GAN reviews;","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 5}",5.0,6.0,5.0,5.0
largely,"* {{Wikipedia:WikiCup/Participant17|Generalissima}} with 1,095 round points, largely from 3 featured articles, 6 good articles, and 5 did you know articles;","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 5}",5.0,6.0,5.0,5.0
largely,"* {{Wikipedia:WikiCup/Participant17|MCE89}} with 848 round points, largely from 1 featured article, 8 good articles, 1 did you know article, and 32 FAC and GAN reviews; and","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 4}",5.0,6.0,4.0,5.0
largely,"* {{Wikipedia:WikiCup/Participant17|Rollinginhisgrave}} with 838 round points, largely from 1 featured article, 8 good articles, 1 did you know article, and 14 FAC, GAN, and peer reviews.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 5}",5.0,6.0,5.0,5.0
extremely,:2: I Gave credit to Nayapala because defeating a powerful king such as Karna of the Kalachuri is an extremely impressive feat.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very, Even if you can only manage a few articles they would be very much appreciated and help make the content produced as diverse and broad as possible!,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 5}",6.0,6.0,5.0,6.0
slightly,I have edited some sentences slightly; I made the Views on L Ron Hubbard section about purely views on hime by scientologists (there was not much else that wasn't already covered elsewhere there) and I edited some titles.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 5, ""degree"": 5}",7.0,5.0,5.0,7.0
quite,::All details on his fabrication of certain elements of his life are made quite clear in other parts of the article.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 7, ""degree"": 4}",6.0,7.0,4.0,6.0
relatively," I absolutely am not trying to push any pro scientology biases, I would not remove this one relatively unimportant section so conspicuously if I was [[User:800437516a|800437516a]] ([[User talk:800437516a#top|talk]]) 20:23, 2 May 2026 (UTC)","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 4}",7.0,6.0,4.0,7.0
very,:::I don't think your sources are very accurate because I was there in Melbourne in 1989 and I raced and had to retire due to a gearbox issue.,"{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 5, ""degree"": 4}",8.0,5.0,4.0,8.0
really," But if it's your PC that crashed, then I don't really need the log.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 2}",8.0,4.0,2.0,8.0
very," If this was caused by the bot (which is very unlikely with C#), I'd need your system crash logs that would have a stack trace to the AAB process.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very," Please take a look; I think, your participation will be very helpful.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very," I'm not very adept in editing templates, so perhaps you can have a quick look before I break something?","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 5, ""degree"": 4}",7.0,5.0,4.0,7.0
really, I don't really see a problem with that.,"{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 2}",8.0,4.0,2.0,8.0
very, I noticed that you made [[Special:Diff/1281594331|a comment in an edit summary]] at [[:Kati roll]] that didn't seem very [[Wikipedia:Civility|civil]].,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 4}",7.0,6.0,4.0,7.0
very," ''Please do not accuse other good-faith editors of [[WP:Vandalism]], which has a very specific meaning here on en.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 4}",5.0,5.0,4.0,5.0
very," However, the [https://en.wikipedia.org/w/index.php?title=Bandaragama_Divisional_Secretariat&diff=prev&oldid=1271982974 copy you added] reads very much like an advertisement/tourist guide.","{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 5, ""degree"": 5}",3.0,5.0,5.0,3.0
a bit," Although a bit more leeway is given for user pages, they are not for personal profiles.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 5}",6.0,4.0,5.0,6.0
really,"[[File:Information.svg|25px|alt=Information icon]] Before adding a category to an article, as you did to [[:Call of Duty: Black Ops 6]], please make sure that the subject of the article really belongs in the category that you specified according to Wikipedia's [[Wikipedia:Categorization|categorization guidelines]].","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 4, ""degree"": 2}",4.0,4.0,2.0,4.0
very,totally unacceptable and very rude behavior.,"{""is_modifier"": true, ""softens_harshness"": 0, ""formality"": 5, ""degree"": 5}",0.0,5.0,5.0,0.0
mostly," Places were indeed renamed (and we have mostly taken care of this), but railway stations and hromadas were not.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
pretty," Hence, you introduced disinformation to the articles, which is up to now pretty much your only contribution.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 3, ""degree"": 4}",6.0,3.0,4.0,6.0
kind of," And and someone that use this/ And people who choose to abuse something like this and two of them have to do something like this, they are so wrong, it's just with people when they try to abuse things like this and try to use some kind of power, it just sends always going beyond themselves in the end, I might be able to find a simple one so you can see it with your own eyes I just have to find it for the same user who has used this method to scare other people and think they must do this but it is only an administrator can do this, you can't and I can't either.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 0}",6.0,4.0,0.0,6.0
very, Similarly duplicating information across multiple articles is a bad idea as it makes it very difficult for information to be kept up to date and it is very hard for readers to navigate.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
a bit,"Now you can see all of those flags that is a reason why they are here, I hope you have a bit understanding for it now, and also there are peoples and person’s as well.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 4}",7.0,3.0,4.0,7.0
partially," If you continue to add them to articles, you will likely be blocked completely (as you already partially are, apparently for ignoring warnings).","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 5}",7.0,6.0,5.0,7.0
